"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-14,2026-06-14,"Existing Posts",active,50,Daily,81.51,5247,5575,1.062512,222,3.982063,0.367162,14.620628,192,75,0.390625,1.0868
2026-06-13,2026-06-13,"[Parents + Cooking] Creative Test",inactive,50,Daily,42.62,20800,21263,1.02226,28,0.131684,1.522143,2.004421,4,0,0,
2026-06-13,2026-06-13,"Target Evergreen Campaign",active,50,Daily,63.71,43588,43853,1.00608,78,0.177867,0.816795,1.452808,0,0,,
2026-06-13,2026-06-13,"Whole Foods Evergreen Campaign",active,50,Daily,35.6,15052,15274,1.014749,11,0.072018,3.236364,2.330758,0,0,,
2026-06-13,2026-06-13,"Audience Test (Parents + Cooking)",active,50,Daily,40.77,16589,17245,1.039544,15,0.086982,2.718,2.364164,8,0,0,
2026-06-13,2026-06-13,"Existing Posts",active,50,Daily,59.32,3609,3771,1.044888,153,4.057279,0.387712,15.730575,124,45,0.36290323,1.31822222
2026-06-12,2026-06-12,"[Parents + Cooking] Creative Test",inactive,50,Daily,50.66,19463,20056,1.030468,10,0.04986,5.066,2.525927,2,0,0,
2026-06-12,2026-06-12,"Target Evergreen Campaign",active,50,Daily,50.22,21922,21925,1.000137,10,0.04561,5.022,2.290536,0,0,,
2026-06-12,2026-06-12,"Whole Foods Evergreen Campaign",active,50,Daily,46.23,19087,20222,1.059465,13,0.064286,3.556154,2.286124,0,0,,
2026-06-12,2026-06-12,"Audience Test (Parents + Cooking)",active,50,Daily,43.34,15798,16607,1.051209,9,0.054194,4.815556,2.609743,3,0,0,
2026-06-12,2026-06-12,"Existing Posts",active,50,Daily,72.28,4747,4952,1.043185,170,3.432956,0.425176,14.596123,136,53,0.38970588,1.36377358
2026-06-11,2026-06-11,"[Parents + Cooking] Creative Test",inactive,50,Daily,42.26,16800,18326,1.090833,10,0.054567,4.226,2.306013,3,0,0,
2026-06-11,2026-06-11,"Target Evergreen Campaign",active,50,Daily,45.11,23410,23670,1.011106,23,0.097169,1.961304,1.905788,0,0,,
2026-06-11,2026-06-11,"Whole Foods Evergreen Campaign",active,50,Daily,42.48,17909,18084,1.009772,15,0.082946,2.832,2.349038,0,0,,
2026-06-11,2026-06-11,"Audience Test (Parents + Cooking)",active,50,Daily,35.73,15219,15606,1.025429,11,0.070486,3.248182,2.289504,1,0,0,
2026-06-11,2026-06-11,"Existing Posts",active,50,Daily,97.03,6526,6830,1.046583,245,3.587116,0.396041,14.206442,205,66,0.32195122,1.47015152
2026-06-10,2026-06-10,"[Parents + Cooking] Creative Test",inactive,50,Daily,40.32,20407,20546,1.006811,32,0.155748,1.26,1.962426,4,0,0,
2026-06-10,2026-06-10,"Target Evergreen Campaign",active,50,Daily,43.83,23055,24284,1.053307,20,0.082359,2.1915,1.804892,0,0,,
2026-06-10,2026-06-10,"Whole Foods Evergreen Campaign",active,50,Daily,44.08,24438,24501,1.002578,34,0.13877,1.296471,1.79911,0,0,,
2026-06-10,2026-06-10,"Audience Test (Parents + Cooking)",active,50,Daily,72.09,44066,44066,1,75,0.170199,0.9612,1.635955,17,0,0,
2026-06-10,2026-06-10,"Existing Posts",active,50,Daily,83.39,5120,5612,1.096094,184,3.278689,0.453207,14.85923,147,35,0.23809524,2.38257143
2026-06-09,2026-06-09,"[Parents + Cooking] Creative Test",inactive,50,Daily,39.89,18755,19331,1.030712,20,0.103461,1.9945,2.063525,4,0,0,
2026-06-09,2026-06-09,"Target Evergreen Campaign",active,50,Daily,62.35,40320,40320,1,46,0.114087,1.355435,1.546379,0,0,,
2026-06-09,2026-06-09,"Whole Foods Evergreen Campaign",active,50,Daily,42.71,18314,20289,1.107841,10,0.049288,4.271,2.105082,1,0,0,
2026-06-09,2026-06-09,"Audience Test (Parents + Cooking)",active,50,Daily,44.35,18712,20203,1.079681,7,0.034648,6.335714,2.195219,0,0,,
2026-06-09,2026-06-09,"Existing Posts",active,50,Daily,34.43,2222,2222,1,132,5.940594,0.260833,15.49505,122,27,0.22131148,1.27518519
2026-06-08,2026-06-08,"[Parents + Cooking] Creative Test",inactive,50,Daily,84.76,61462,61581,1.001936,99,0.160764,0.856162,1.376399,24,0,0,
